Delta Time, Position, Velocity, 
50, 0.000309, 0.012346, 
50, 0.001543, 0.024691, 
50, 0.004321, 0.055556, 
50, 0.009259, 0.098765, 
50, 0.016975, 0.154321, 
50, 0.028086, 0.222222, 
50, 0.043210, 0.302469, 
50, 0.062963, 0.395062, 
50, 0.087963, 0.500000, 
50, 0.118827, 0.617284, 
50, 0.156173, 0.746914, 
50, 0.200617, 0.888889, 
50, 0.252469, 1.037037, 
50, 0.311728, 1.185185, 
50, 0.378395, 1.333333, 
50, 0.452469, 1.481481, 
50, 0.533951, 1.629630, 
50, 0.622840, 1.777778, 
50, 0.719136, 1.925926, 
50, 0.822840, 2.074074, 
50, 0.933951, 2.222222, 
50, 1.052469, 2.370370, 
50, 1.178395, 2.518519, 
50, 1.311728, 2.666667, 
50, 1.452469, 2.814815, 
50, 1.600617, 2.962963, 
50, 1.756173, 3.111111, 
50, 1.918827, 3.253086, 
50, 2.087963, 3.382716, 
50, 2.262963, 3.500000, 
50, 2.443210, 3.604938, 
50, 2.628086, 3.697531, 
50, 2.816975, 3.777778, 
50, 3.009259, 3.845679, 
50, 3.204321, 3.901235, 
50, 3.401543, 3.944444, 
50, 3.600309, 3.975309, 
50, 3.800000, 3.993827, 
50, 4.000000, 4.000000, 
50, 4.200000, 4.000000, 
50, 4.400000, 4.000000, 
50, 4.600000, 4.000000, 
50, 4.800000, 4.000000, 
50, 5.000000, 4.000000, 
50, 5.200000, 4.000000, 
50, 5.400000, 4.000000, 
50, 5.600000, 4.000000, 
50, 5.800000, 4.000000, 
50, 6.000000, 4.000000, 
50, 6.200000, 4.000000, 
50, 6.400000, 4.000000, 
50, 6.600000, 4.000000, 
50, 6.800000, 4.000000, 
50, 7.000000, 4.000000, 
50, 7.156247, 3.124938, 
50, 7.306158, 2.998223, 
50, 7.448579, 2.848427, 
50, 7.582369, 2.675784, 
50, 7.706518, 2.482997, 
50, 7.820476, 2.279146, 
50, 7.924608, 2.082653, 
50, 8.020702, 1.921874, 
50, 8.112185, 1.829649, 
50, 8.203730, 1.830918, 
50, 8.300230, 1.929999, 
50, 8.405635, 2.108091, 
50, 8.522304, 2.333380, 
50, 8.651047, 2.574866, 
50, 8.791580, 2.810658, 
50, 8.943039, 3.029179, 
50, 9.104370, 3.226610, 
50, 9.274557, 3.403750, 
50, 9.452742, 3.563690, 
50, 9.638263, 3.710431, 
50, 9.830674, 3.848209, 
50, 10.029735, 3.981237, 
50, 10.235419, 4.113664, 
50, 10.447900, 4.249625, 
50, 10.667565, 4.393309, 
50, 10.895013, 4.548949, 
50, 11.131045, 4.720646, 
50, 11.376637, 4.911832, 
50, 11.600512, 4.477518, 
50, 11.827234, 4.534423, 
50, 12.057682, 4.608964, 
50, 12.292261, 4.691584, 
50, 12.531403, 4.782833, 
50, 12.775544, 4.882824, 
50, 13.025090, 4.990919, 
50, 13.280356, 5.105316, 
50, 13.541485, 5.222591, 
50, 13.808352, 5.337333, 
50, 14.080459, 5.442134, 
50, 14.356869, 5.528217, 
50, 14.636214, 5.586895, 
50, 14.916794, 5.611601, 
50, 15.196782, 5.599750, 
50, 15.474459, 5.553539, 
50, 15.748421, 5.479244, 
50, 16.017691, 5.385405, 
50, 16.281731, 5.280791, 
50, 16.540376, 5.172908, 
50, 16.793741, 5.067309, 
50, 17.003766, 4.200483, 
50, 17.218968, 4.304042, 
50, 17.444483, 4.510310, 
50, 17.681210, 4.734537, 
50, 17.930313, 4.982065, 
50, 18.193049, 5.254714, 
50, 18.470395, 5.546925, 
50, 18.762423, 5.840554, 
50, 19.067491, 6.101360, 
50, 19.381680, 6.283775, 
50, 19.698938, 6.345158, 
50, 20.012225, 6.265744, 
50, 20.315553, 6.066566, 
50, 20.605340, 5.795740, 
50, 20.884952, 5.592239, 
50, 21.162547, 5.551905, 
50, 21.433953, 5.428125, 
50, 21.695415, 5.229225, 
50, 21.943947, 4.970646, 
50, 22.177579, 4.672649, 
50, 22.395285, 4.354110, 
50, 22.596738, 4.029056, 
50, 22.782177, 3.708787, 
50, 22.952398, 3.404424, 
50, 23.108436, 3.120750, 
50, 23.251253, 2.856342, 
50, 23.381723, 2.609410, 
50, 23.500633, 2.378196, 
50, 23.608690, 2.161144, 
50, 23.706538, 1.956943, 
50, 23.794763, 1.764500, 
50, 23.873907, 1.582891, 
50, 23.944472, 1.411303, 
50, 24.006921, 1.248980, 
50, 24.061680, 1.095183, 
50, 24.109138, 0.949155, 
50, 24.149644, 0.810107, 
50, 24.183593, 0.678999, 
50, 24.211582, 0.559779, 
50, 24.234303, 0.454404, 
50, 24.252391, 0.361765, 
50, 24.266438, 0.280947, 
50, 24.276999, 0.211219, 
50, 24.284600, 0.152015, 
50, 24.289746, 0.102914, 
50, 24.292927, 0.063619, 
50, 24.294623, 0.033937, 
50, 24.295311, 0.013753, 
50, 24.295462, 0.003013, 
50, 24.295462, 0.000000, 
