Delta Time, Position, Velocity, 
50, 0.000302, 0.012084, 
50, 0.001510, 0.024168, 
50, 0.004229, 0.054377, 
50, 0.009063, 0.096670, 
50, 0.016615, 0.151047, 
50, 0.027491, 0.217508, 
50, 0.042293, 0.296053, 
50, 0.061627, 0.386681, 
50, 0.086097, 0.489393, 
50, 0.116306, 0.604189, 
50, 0.152860, 0.731069, 
50, 0.196361, 0.870032, 
50, 0.247113, 1.015038, 
50, 0.305116, 1.160043, 
50, 0.370368, 1.305049, 
50, 0.442871, 1.450054, 
50, 0.522624, 1.595059, 
50, 0.609627, 1.740065, 
50, 0.703880, 1.885070, 
50, 0.805384, 2.030076, 
50, 0.914138, 2.175081, 
50, 1.030142, 2.320086, 
50, 1.153397, 2.465092, 
50, 1.283902, 2.610097, 
50, 1.421657, 2.755102, 
50, 1.566662, 2.900108, 
50, 1.718616, 3.039071, 
50, 1.876914, 3.165951, 
50, 2.040951, 3.280747, 
50, 2.210124, 3.383459, 
50, 2.383828, 3.474088, 
50, 2.561460, 3.552632, 
50, 2.742415, 3.619093, 
50, 2.926088, 3.673470, 
50, 3.111876, 3.715763, 
50, 3.299175, 3.745973, 
50, 3.487380, 3.764098, 
50, 3.675625, 3.764910, 
50, 3.863046, 3.748406, 
50, 4.049037, 3.719819, 
50, 4.232994, 3.679149, 
50, 4.414314, 3.626394, 
50, 4.592391, 3.561556, 
50, 4.766623, 3.484634, 
50, 4.936404, 3.395628, 
50, 5.101131, 3.294538, 
50, 5.260200, 3.181365, 
50, 5.413005, 3.056107, 
50, 5.558943, 2.918766, 
50, 5.697672, 2.774572, 
50, 5.829150, 2.629567, 
50, 5.953378, 2.484561, 
50, 6.070356, 2.339556, 
50, 6.180084, 2.194551, 
50, 6.282561, 2.049545, 
50, 6.377788, 1.904540, 
50, 6.465765, 1.759534, 
50, 6.546491, 1.614529, 
50, 6.619967, 1.469524, 
50, 6.686193, 1.324518, 
50, 6.745169, 1.179513, 
50, 6.796894, 1.034507, 
50, 6.841369, 0.889502, 
50, 6.878856, 0.749727, 
50, 6.909917, 0.621225, 
50, 6.935157, 0.504807, 
50, 6.955181, 0.400472, 
50, 6.970592, 0.308221, 
50, 6.981995, 0.228054, 
50, 6.989993, 0.159971, 
50, 6.995192, 0.103971, 
50, 6.998194, 0.060056, 
50, 6.999606, 0.028224, 
50, 7.000029, 0.008476, 
50, 7.000070, 0.000811, 
50, 7.000070, 0.000000, 
