Delta Time, Position, Velocity, 
50, 0.000309, 0.012346, 
50, 0.001543, 0.024691, 
50, 0.004321, 0.055556, 
50, 0.009259, 0.098765, 
50, 0.016975, 0.154321, 
50, 0.028086, 0.222222, 
50, 0.043210, 0.302469, 
50, 0.062963, 0.395062, 
50, 0.087963, 0.500000, 
50, 0.118827, 0.617284, 
50, 0.156173, 0.746914, 
50, 0.200617, 0.888889, 
50, 0.252469, 1.037037, 
50, 0.311728, 1.185185, 
50, 0.378395, 1.333333, 
50, 0.452469, 1.481481, 
50, 0.533951, 1.629630, 
50, 0.622840, 1.777778, 
50, 0.719136, 1.925926, 
50, 0.822840, 2.074074, 
50, 0.933951, 2.222222, 
50, 1.052469, 2.370370, 
50, 1.178395, 2.518519, 
50, 1.311728, 2.666667, 
50, 1.452469, 2.814815, 
50, 1.600617, 2.962963, 
50, 1.756173, 3.111111, 
50, 1.918827, 3.253086, 
50, 2.087963, 3.382716, 
50, 2.262963, 3.500000, 
50, 2.443210, 3.604938, 
50, 2.628086, 3.697531, 
50, 2.816975, 3.777778, 
50, 3.009259, 3.845679, 
50, 3.204321, 3.901235, 
50, 3.401543, 3.944444, 
50, 3.600309, 3.975309, 
50, 3.800000, 3.993827, 
50, 4.000000, 4.000000, 
50, 4.200000, 4.000000, 
50, 4.400000, 4.000000, 
50, 4.600000, 4.000000, 
50, 4.800000, 4.000000, 
50, 5.000000, 4.000000, 
50, 5.200000, 4.000000, 
50, 5.400000, 4.000000, 
50, 5.600000, 4.000000, 
50, 5.800000, 4.000000, 
50, 6.000000, 4.000000, 
50, 6.200000, 4.000000, 
50, 6.400000, 4.000000, 
50, 6.600000, 4.000000, 
50, 6.800000, 4.000000, 
50, 7.000000, 4.000000, 
50, 7.158430, 3.168592, 
50, 7.310844, 3.048291, 
50, 7.456143, 2.905978, 
50, 7.593241, 2.741958, 
50, 7.721181, 2.558799, 
50, 7.839437, 2.365127, 
50, 7.948359, 2.178444, 
50, 8.049644, 2.025690, 
50, 8.146547, 1.938069, 
50, 8.243511, 1.939274, 
50, 8.345182, 2.033410, 
50, 8.455312, 2.202612, 
50, 8.576145, 2.416653, 
50, 8.708449, 2.646080, 
50, 8.851954, 2.870095, 
50, 9.005839, 3.077701, 
50, 9.169102, 3.265267, 
50, 9.340780, 3.433555, 
50, 9.520055, 3.585502, 
50, 9.706300, 3.724907, 
50, 9.899090, 3.855798, 
50, 10.098199, 3.982175, 
50, 10.303598, 4.107980, 
50, 10.515455, 4.237143, 
50, 10.734137, 4.373640, 
50, 10.960212, 4.521495, 
50, 11.194442, 4.684603, 
50, 11.437753, 4.866223, 
50, 11.660433, 4.453592, 
50, 11.885817, 4.507696, 
50, 12.114743, 4.578508, 
50, 12.347593, 4.656995, 
50, 12.584776, 4.743678, 
50, 12.826710, 4.838666, 
50, 13.073777, 4.941352, 
50, 13.326279, 5.050025, 
50, 13.584350, 5.161430, 
50, 13.847872, 5.270429, 
50, 14.116371, 5.369984, 
50, 14.388959, 5.451757, 
50, 14.664334, 5.507498, 
50, 14.940882, 5.530967, 
50, 15.216867, 5.519709, 
50, 15.490658, 5.475811, 
50, 15.760920, 5.405236, 
50, 16.026724, 5.316094, 
50, 16.287560, 5.216718, 
50, 16.543272, 5.114234, 
50, 16.793968, 5.013920, 
50, 17.003489, 4.190429, 
50, 17.217931, 4.288838, 
50, 17.442171, 4.484789, 
50, 17.677061, 4.697799, 
50, 17.923708, 4.932942, 
50, 18.183305, 5.191945, 
50, 18.456782, 5.469528, 
50, 18.744204, 5.748455, 
50, 19.044014, 5.996199, 
50, 19.352488, 6.169477, 
50, 19.663872, 6.227673, 
50, 19.971457, 6.151706, 
50, 20.269525, 5.961355, 
50, 20.554641, 5.702325, 
50, 20.829971, 5.506595, 
50, 21.103236, 5.465310, 
50, 21.370442, 5.344106, 
50, 21.627988, 5.150925, 
50, 21.873010, 4.900433, 
50, 22.103603, 4.611876, 
50, 22.318763, 4.303186, 
50, 22.518147, 3.987688, 
50, 22.701958, 3.676227, 
50, 22.870942, 3.379677, 
50, 23.026081, 3.102781, 
50, 23.168291, 2.844188, 
50, 23.298400, 2.602196, 
50, 23.417157, 2.375135, 
50, 23.525234, 2.161528, 
50, 23.623240, 1.960130, 
50, 23.711735, 1.769901, 
50, 23.791233, 1.589965, 
50, 23.862211, 1.419549, 
50, 23.925108, 1.257935, 
50, 23.980329, 1.104420, 
50, 24.028243, 0.958286, 
50, 24.069182, 0.818783, 
50, 24.103529, 0.686935, 
50, 24.131869, 0.566799, 
50, 24.154891, 0.460435, 
50, 24.173230, 0.366786, 
50, 24.187479, 0.284984, 
50, 24.198196, 0.214335, 
50, 24.205911, 0.154302, 
50, 24.211135, 0.104483, 
50, 24.214365, 0.064598, 
50, 24.216088, 0.034462, 
50, 24.216786, 0.013966, 
50, 24.216939, 0.003060, 
50, 24.216939, 0.000000, 
