Delta Time, Position, Velocity, 
50, 0.000309, 0.012346, 
50, 0.001495, 0.023728, 
50, 0.004164, 0.053388, 
50, 0.008910, 0.094914, 
50, 0.016326, 0.148309, 
50, 0.027004, 0.213577, 
50, 0.041541, 0.290726, 
50, 0.060529, 0.379766, 
50, 0.084564, 0.480709, 
50, 0.114243, 0.593573, 
50, 0.150162, 0.718379, 
50, 0.192920, 0.855153, 
50, 0.242819, 0.997985, 
50, 0.299867, 1.140960, 
50, 0.364072, 1.284099, 
50, 0.435443, 1.427423, 
50, 0.513991, 1.570954, 
50, 0.599727, 1.714715, 
50, 0.692663, 1.858727, 
50, 0.792814, 2.003013, 
50, 0.900193, 2.147596, 
50, 1.014818, 2.292499, 
50, 1.136706, 2.437745, 
50, 1.265873, 2.583356, 
50, 1.402341, 2.729357, 
50, 1.546130, 2.875769, 
50, 1.697261, 3.022617, 
50, 1.855456, 3.163914, 
50, 2.020138, 3.293644, 
50, 2.190727, 3.411770, 
50, 2.366639, 3.518249, 
50, 2.547291, 3.613034, 
50, 2.732095, 3.696075, 
50, 2.920461, 3.767316, 
50, 3.111796, 3.826699, 
50, 3.305504, 3.874162, 
50, 3.500986, 3.909643, 
50, 3.697640, 3.933077, 
50, 3.894860, 3.944401, 
50, 4.092342, 3.949647, 
50, 4.290087, 3.954890, 
50, 4.488093, 3.960129, 
50, 4.686361, 3.965366, 
50, 4.884891, 3.970599, 
50, 5.083683, 3.975830, 
50, 5.282736, 3.981058, 
50, 5.482050, 3.986285, 
50, 5.681625, 3.991509, 
50, 5.881462, 3.996733, 
50, 6.081560, 4.001956, 
50, 6.281919, 4.007180, 
50, 6.482539, 4.012404, 
50, 6.683421, 4.017630, 
50, 6.884563, 4.022857, 
50, 7.085968, 4.028087, 
50, 7.287634, 4.033319, 
50, 7.489561, 4.038555, 
50, 7.691751, 4.043793, 
50, 7.894203, 4.049035, 
50, 8.096917, 4.054280, 
50, 8.299893, 4.059527, 
50, 8.503132, 4.064776, 
50, 8.706633, 4.070027, 
50, 8.910397, 4.075278, 
50, 9.114424, 4.080529, 
50, 9.318713, 4.085776, 
50, 9.523264, 4.091020, 
50, 9.728076, 4.096257, 
50, 9.933151, 4.101486, 
50, 10.138486, 4.106703, 
50, 10.344081, 4.111905, 
50, 10.549936, 4.117089, 
50, 10.756048, 4.122251, 
50, 10.962418, 4.127387, 
50, 11.169042, 4.132491, 
50, 11.375920, 4.137559, 
50, 11.583049, 4.142585, 
50, 11.790427, 4.147563, 
50, 11.998052, 4.152487, 
50, 13.899635, 38.031666, 
50, 14.141054, 4.828384, 
50, 14.390500, 4.988911, 
50, 14.650222, 5.194442, 
50, 14.923082, 5.457198, 
50, 15.212440, 5.787160, 
50, 15.521506, 6.181331, 
50, 15.851619, 6.602245, 
50, 16.199383, 6.955282, 
50, 16.554732, 7.106986, 
50, 16.903593, 6.977222, 
50, 17.234447, 6.617072, 
50, 17.542361, 6.158292, 
50, 17.827872, 5.710224, 
50, 18.093995, 5.322444, 
50, 18.344130, 5.002715, 
50, 18.581188, 4.741141, 
50, 18.807367, 4.523593, 
50, 19.024205, 4.336749, 
50, 19.232665, 4.169210, 
50, 19.433224, 4.011185, 
50, 19.625913, 3.853763, 
50, 19.810317, 3.688086, 
50, 19.985543, 3.504524, 
50, 20.159721, 3.483556, 
50, 20.355353, 3.912634, 
50, 20.557878, 4.050504, 
50, 20.767420, 4.190852, 
50, 20.984456, 4.340704, 
50, 21.209848, 4.507858, 
50, 21.444917, 4.701371, 
50, 21.691504, 4.931744, 
50, 21.952010, 5.210124, 
50, 22.229260, 5.544984, 
50, 22.525933, 5.933464, 
50, 22.843194, 6.345223, 
50, 23.178494, 6.706006, 
50, 23.523957, 6.909251, 
50, 23.867953, 6.879925, 
50, 24.199914, 6.639219, 
50, 24.514138, 6.284477, 
50, 24.809803, 5.913303, 
50, 25.088859, 5.581118, 
50, 25.354138, 5.305577, 
50, 25.608371, 5.084665, 
50, 27.517088, 38.174334, 
50, 27.729895, 4.256148, 
50, 27.942521, 4.252523, 
50, 28.154953, 4.248641, 
50, 28.367179, 4.244515, 
50, 28.579187, 4.240158, 
50, 28.790966, 4.235584, 
50, 29.002507, 4.230808, 
50, 29.213799, 4.225843, 
50, 29.424834, 4.220705, 
50, 29.635604, 4.215408, 
50, 29.846103, 4.209967, 
50, 30.056323, 4.204395, 
50, 30.266258, 4.198707, 
50, 30.475904, 4.192915, 
50, 30.685255, 4.187031, 
50, 30.894309, 4.181069, 
50, 31.103061, 4.175039, 
50, 31.311508, 4.168952, 
50, 31.519649, 4.162818, 
50, 31.727481, 4.156645, 
50, 31.935003, 4.150442, 
50, 32.142214, 4.144217, 
50, 32.349113, 4.137975, 
50, 32.555699, 4.131725, 
50, 32.761973, 4.125469, 
50, 32.967933, 4.119215, 
50, 33.173582, 4.112964, 
50, 33.378918, 4.106721, 
50, 33.583942, 4.100489, 
50, 33.788656, 4.094269, 
50, 33.993059, 4.088064, 
50, 34.197153, 4.081874, 
50, 34.400938, 4.075701, 
50, 34.604415, 4.069544, 
50, 34.807585, 4.063404, 
50, 35.010449, 4.057281, 
50, 35.213008, 4.051173, 
50, 35.415262, 4.045080, 
50, 35.617212, 4.039000, 
50, 35.818858, 4.032932, 
50, 36.020202, 4.026875, 
50, 36.221243, 4.020827, 
50, 36.421983, 4.014786, 
50, 36.622420, 4.008750, 
50, 36.822556, 4.002717, 
50, 37.022390, 3.996684, 
50, 37.221923, 3.990651, 
50, 37.421153, 3.984614, 
50, 37.620082, 3.978572, 
50, 37.818708, 3.972523, 
50, 38.017031, 3.966464, 
50, 38.215051, 3.960395, 
50, 38.412767, 3.954314, 
50, 38.610178, 3.948219, 
50, 38.807283, 3.942109, 
50, 39.004082, 3.935983, 
50, 39.200574, 3.929840, 
50, 39.396758, 3.923681, 
50, 39.592634, 3.917505, 
50, 39.788199, 3.911313, 
50, 39.983455, 3.905105, 
50, 40.178399, 3.898883, 
50, 40.373031, 3.892648, 
50, 40.567351, 3.886403, 
50, 40.761359, 3.880151, 
50, 40.955054, 3.873894, 
50, 41.148436, 3.867638, 
50, 41.341505, 3.861386, 
50, 41.534262, 3.855145, 
50, 41.726708, 3.848920, 
50, 41.918844, 3.842717, 
50, 42.110671, 3.836546, 
50, 42.302192, 3.830414, 
50, 42.493408, 3.824330, 
50, 42.684324, 3.818305, 
50, 42.874941, 3.812348, 
50, 43.065265, 3.806471, 
50, 43.255299, 3.800687, 
50, 43.445049, 3.795007, 
50, 43.634522, 3.789446, 
50, 43.823722, 3.784016, 
50, 44.012659, 3.778732, 
50, 44.201339, 3.773608, 
50, 44.389772, 3.768660, 
50, 44.577967, 3.763901, 
50, 44.765935, 3.759346, 
50, 44.953685, 3.755009, 
50, 45.141230, 3.750905, 
50, 45.328583, 3.747046, 
50, 47.236365, 38.155643, 
50, 47.445440, 4.181494, 
50, 47.654414, 4.179483, 
50, 47.863283, 4.177379, 
50, 48.072042, 4.175184, 
50, 48.280687, 4.172904, 
50, 48.489214, 4.170541, 
50, 48.697619, 4.168100, 
50, 48.905898, 4.165585, 
50, 49.114048, 4.162998, 
50, 49.322066, 4.160346, 
50, 49.529947, 4.157630, 
50, 49.737690, 4.154856, 
50, 49.945291, 4.152027, 
50, 50.152748, 4.149146, 
50, 50.360059, 4.146219, 
50, 50.567222, 4.143248, 
50, 50.774234, 4.140236, 
50, 50.981093, 4.137189, 
50, 51.187798, 4.134107, 
50, 51.394348, 4.130996, 
50, 51.600741, 4.127858, 
50, 51.806976, 4.124695, 
50, 52.013051, 4.121511, 
50, 52.218967, 4.118309, 
50, 52.424721, 4.115091, 
