Delta Time, Position, Velocity, 
50, 0.000309, 0.012346, 
50, 0.001500, 0.023822, 
50, 0.004180, 0.053599, 
50, 0.008944, 0.095290, 
50, 0.016389, 0.148896, 
50, 0.027110, 0.214421, 
50, 0.041704, 0.291874, 
50, 0.060767, 0.381261, 
50, 0.084897, 0.482595, 
50, 0.114691, 0.595893, 
50, 0.150750, 0.721173, 
50, 0.193673, 0.858458, 
50, 0.243763, 1.001814, 
50, 0.301028, 1.145300, 
50, 0.365475, 1.288936, 
50, 0.437112, 1.432739, 
50, 0.515949, 1.576732, 
50, 0.601995, 1.720931, 
50, 0.695263, 1.865359, 
50, 0.795765, 2.010035, 
50, 0.903514, 2.154980, 
50, 1.018525, 2.300213, 
50, 1.140813, 2.445756, 
50, 1.270394, 2.591628, 
50, 1.407287, 2.737851, 
50, 1.551509, 2.884445, 
50, 1.703080, 3.031430, 
50, 1.861720, 3.172803, 
50, 2.026847, 3.302530, 
50, 2.197876, 3.420578, 
50, 2.374221, 3.526910, 
50, 2.555295, 3.621481, 
50, 2.740508, 3.704248, 
50, 2.929266, 3.775159, 
50, 3.120974, 3.834164, 
50, 3.315034, 3.881206, 
50, 3.510846, 3.916230, 
50, 3.707805, 3.939178, 
50, 3.905304, 3.949991, 
50, 4.103040, 3.954718, 
50, 4.301012, 3.959442, 
50, 4.499220, 3.964165, 
50, 4.697665, 3.968884, 
50, 4.896345, 3.973602, 
50, 5.095261, 3.978318, 
50, 5.294412, 3.983031, 
50, 5.493799, 3.987744, 
50, 5.693422, 3.992455, 
50, 5.893280, 3.997166, 
50, 6.093374, 4.001876, 
50, 6.293704, 4.006586, 
50, 6.494268, 4.011297, 
50, 6.695069, 4.016009, 
50, 6.896105, 4.020722, 
50, 7.097377, 4.025437, 
50, 7.298885, 4.030154, 
50, 7.500628, 4.034873, 
50, 7.702608, 4.039595, 
50, 7.904824, 4.044319, 
50, 8.107276, 4.049044, 
50, 8.309715, 4.048783, 
50, 8.511577, 4.037244, 
50, 8.712233, 4.013102, 
50, 8.911047, 3.976298, 
50, 9.107386, 3.926776, 
50, 9.300610, 3.864482, 
50, 9.490078, 3.789361, 
50, 9.675147, 3.701365, 
50, 9.855169, 3.600446, 
50, 10.029497, 3.486561, 
50, 10.197481, 3.359671, 
50, 10.358468, 3.219742, 
50, 10.512058, 3.071798, 
50, 10.658166, 2.922174, 
50, 10.796775, 2.772175, 
50, 10.927866, 2.621822, 
50, 11.051423, 2.471135, 
50, 11.167430, 2.320134, 
50, 11.275872, 2.168840, 
50, 11.376735, 2.017273, 
50, 11.470008, 1.865455, 
50, 11.555678, 1.713404, 
50, 11.633735, 1.561141, 
50, 11.704169, 1.408686, 
50, 11.766972, 1.256059, 
50, 11.822136, 1.103278, 
50, 11.869654, 0.950363, 
50, 11.909776, 0.802424, 
50, 11.943069, 0.665868, 
50, 11.970170, 0.542018, 
50, 11.991715, 0.430892, 
50, 12.008340, 0.332507, 
50, 12.020684, 0.246876, 
50, 12.029384, 0.174009, 
50, 12.035080, 0.113911, 
50, 12.038409, 0.066589, 
50, 12.040011, 0.032045, 
50, 12.040526, 0.010281, 
50, 12.040590, 0.001297, 
50, 12.040590, 0.000000, 
